 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 42      2637.000      191.7360      83.00000      3332.000      9961.266      1.802292      1.672666  0.0004835655  1.178011E-17  3.016497E-18      3.905228      6.946084      1.842334      9963.028      2.495561      17.07383      6.377242  1.769974E-18
 43      2637.000      191.7360      85.00000      3332.000      9961.569      3.608843      1.672747  0.0009682736  1.196114E-17  3.779569E-18      3.164683      7.052613      2.281239      9963.243      3.503927      16.36778      8.037238  1.752360E-18
 44      2637.000      191.7360      87.00000      3332.000      9961.592      2.805850      1.672753  0.0007528259  1.177515E-17  3.457255E-18      3.405925      6.942935      2.094223      9963.508      2.844116      17.89951      6.771996  1.762051E-18
 45      2637.000      191.7360      89.00000      3332.000      9961.851      2.249181      1.672822  0.0006034684  1.136852E-17  3.116504E-18      3.647843      6.702998      1.895044      9962.962      2.603979      17.29248      6.431394  1.827712E-18
 46      2637.000      191.7360      91.00000      3333.000      9962.361      2.658115      1.672960  0.0007131878  1.116689E-17  3.143288E-18      3.552616      6.583782      1.908286      9963.521      3.212910      15.85581      7.056024  1.819832E-18
 47      2637.000      191.7360      93.00000      3333.000      9962.406      3.175188      1.672972  0.0008519214  1.052834E-17  3.236968E-18      3.252532      6.207275      1.956086      9963.355      3.678962      14.60103      7.271764  1.788494E-18
 48      2637.000      191.7360      95.00000      3332.000      9962.191      3.395705      1.672914  0.0009110873  9.904057E-18  3.426243E-18      2.890647      5.839337      2.060014      9963.446      3.400419      14.83142      8.025723  1.805074E-18
 49      2637.000      191.7360      97.00000      3333.000      9963.001      4.274511      1.673131   0.001146876  1.078965E-17  3.727713E-18      2.894443      6.360959      2.241203      9963.685      4.013289      14.79020      8.335134  1.782317E-18
 50      2637.000      191.7360      99.00000      3333.000      9963.306      4.479708      1.673213   0.001201932  1.020066E-17  3.280904E-18      3.109101      6.013540      1.978339      9963.640      3.475014      15.96855      8.351101  1.789030E-18
 51      2637.000      191.7360      101.0000      3333.000      9962.722      2.753749      1.673056  0.0007388470  1.038047E-17  2.850402E-18      3.641757      6.119901      1.732912      9963.126      3.002444      15.27193      7.209015  1.742381E-18
 52      2637.000      191.7360      103.0000      3333.000      9963.018      3.316523      1.673136  0.0008898425  9.448841E-18  3.360808E-18      2.811479      5.570484      2.018407      9962.839      4.094490      12.11036      7.528479  1.801464E-18
 53      2637.000      191.7360      105.0000      3333.000      9962.537      3.540874      1.673007  0.0009500372  8.513220E-18  3.502619E-18      2.430530      5.019139      2.093983      9962.734      3.413128      12.75757      7.209198  1.798009E-18
 54      2637.000      191.7360      107.0000      3333.000      9962.899      3.980721      1.673104   0.001068051  9.256251E-18  3.384669E-18      2.734758      5.457009      2.030769      9963.004      4.302837      12.68338      7.965722  1.784446E-18
 55      2637.000      191.7360      109.0000      3332.000      9962.233      3.422427      1.672925  0.0009182572  8.377536E-18  3.196949E-18      2.620479      4.939295      1.915558      9961.650      3.111540      10.94266      8.192252  1.792584E-18
 56      2637.000      191.7360      111.0000      3332.000      9962.177      3.333566      1.672910  0.0008944151  8.243611E-18  3.040865E-18      2.710943      4.860361      1.824077      9961.785      2.794635      11.79309      7.152193  1.779566E-18
 57      2637.000      191.7360      113.0000      3333.000      9962.340      3.886008      1.672954   0.001042639  8.112088E-18  3.955769E-18      2.050698      4.782739      2.355566      9962.138      4.865974      10.35791      7.647357  1.772431E-18
 58      2637.000      191.7360      115.0000      3330.000      9959.355      10.80988      1.672153   0.002900353  6.585930E-18  2.873547E-17     0.2291916      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.711580E-18
 59      2637.000      191.7360      117.0000      3333.000      9962.267      3.481771      1.672934  0.0009341795  7.880269E-18  3.193556E-18      2.467554      4.646096      1.910070      9963.010      4.511645      11.50431      8.970304  1.759368E-18
 60      2637.000      191.7360      119.0000      3333.000      9962.698      4.481143      1.673050   0.001202317  8.964559E-18  3.863414E-18      2.320372      5.285149      2.306830      9963.073      4.708138      11.86110      8.717097  1.734166E-18
 61      2637.000      191.7360      121.0000      3332.000      9961.992      3.225388      1.672861  0.0008653903  8.599791E-18  3.457130E-18      2.487552      5.070456      2.068247      9962.207      3.859096      11.74784      7.900853  1.726479E-18
 62      2637.000      191.7360      123.0000      3333.000      9962.467      4.007893      1.672988   0.001075341  8.490598E-18  3.414765E-18      2.486437      5.005837      2.042779      9961.987      3.942292      11.66213      7.697518  1.711188E-18
 63      2637.000      191.7360      125.0000      3333.000      9962.486      5.358285      1.672993   0.001437659  8.435618E-18  3.783490E-18      2.229587      4.973413      2.256981      9962.816      4.767582      11.25869      8.429896  1.667908E-18
 64      2637.000      191.7360      127.0000      3332.000      9961.795      3.748080      1.672808   0.001005632  8.258857E-18  3.426476E-18      2.410306      4.869537      2.048148      9962.248      4.164006      11.52487      9.323359  1.598629E-18
 65      2637.000      191.7360      129.0000      3333.000      9963.363      3.846884      1.673229   0.001032141  8.327318E-18  2.982560E-18      2.792004      4.909130      1.790730      9961.888      4.113286      12.01006      8.436601  1.657665E-18
 66      2637.000      191.7360      131.0000      3332.000      9961.854      3.350385      1.672823  0.0008989278  7.971073E-18  3.463321E-18      2.301570      4.699828      2.067693      9961.602      3.565901      10.42336      7.966936  1.607933E-18
 67      2637.000      191.7360      133.0000      3333.000      9963.113      4.444780      1.673161   0.001192561  7.990244E-18  3.510875E-18      2.275856      4.710536      2.095244      9962.496      4.532256      10.70546      8.314814  1.640240E-18
 68      2637.000      191.7360      135.0000      3334.000      9963.730      4.196373      1.673327   0.001125911  7.758335E-18  3.397605E-18      2.283471      4.573533      2.027685      9962.125      4.169858      10.15132      8.807862  1.625055E-18
 69      2637.000      191.7360      137.0000      3334.000      9963.479      4.660853      1.673260   0.001250534  7.334192E-18  3.149514E-18      2.328674      4.323610      1.880585      9962.228      4.268358      10.27459      7.623754  1.609522E-18
 70      2637.000      191.7360      139.0000      3333.000      9963.186      3.616197      1.673181  0.0009702468  7.388020E-18  3.167996E-18      2.332080      4.355472      1.891746      9963.058      4.401526      11.70861      7.924692  1.589921E-18
 71      2637.000      191.7360      141.0000      3334.000      9964.280      5.108469      1.673475   0.001370632  8.561003E-18  3.164215E-18      2.705569      5.046427      1.897541      9962.704      4.731625      13.38119      8.971309  1.595244E-18
 72      2637.000      191.7360      143.0000      3334.000      9964.375      4.569486      1.673500   0.001226020  8.503447E-18  2.742057E-18      3.101120      5.012452      1.653058      9962.228      4.219854      12.62552      9.573234  1.563251E-18
 73      2637.000      191.7360      145.0000      3333.000      9963.290      4.547357      1.673209   0.001220082  7.261099E-18  3.353637E-18      2.165142      4.280603      1.999075      9962.315      4.039891      9.463702      8.627326  1.523205E-18
 74      2637.000      191.7360      147.0000      3335.000      9964.775      3.162667      1.673607  0.0008485620  8.501452E-18  2.399016E-18      3.543725      5.011075      1.455879      9961.663      2.944070      12.14743      7.754520  1.549990E-18
 75      2637.000      191.7360      149.0000      3334.000      9963.867      6.952274      1.673364   0.001865336  8.369300E-18  3.741460E-18      2.236908      4.933629      2.231770      9963.324      5.063240      11.01752      9.871802  1.499006E-18
