 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 45      714.0000      187.1910      89.00000      173.0000      3249.101     0.3701697      1.672683  0.0003044985  2.485182E-16  1.020506E-17      24.35244      146.5366      11.78201      3248.817     0.1648190      11.35961     0.5781115  5.076170E-18
 46      714.0000      187.1910      91.00000      173.0000      3249.113     0.2999540      1.672693  0.0002467397  2.713840E-16  9.981006E-18      27.19005      160.0186      12.52965      3248.919     0.1486010      11.70354     0.3878854  5.874076E-18
 47      714.0000      187.1910      93.00000      173.0000      3249.073     0.2720391      1.672660  0.0002237771  2.449131E-16  1.012850E-17      24.18058      144.4122      11.63277      3248.804     0.1705693      11.23795     0.4079481  5.131654E-18
 48      714.0000      187.1910      95.00000      173.0000      3249.147     0.3265574      1.672721  0.0002686234  2.555731E-16  9.707966E-18      26.32612      150.6943      11.88606      3248.873     0.1559324      11.38462     0.4135140  5.253910E-18
 49      714.0000      187.1910      97.00000      173.0000      3249.062     0.2933521      1.672651  0.0002413090  2.461871E-16  9.565504E-18      25.73697      145.1638      11.51116      3248.769     0.1560772      11.28568     0.4178589  5.077258E-18
 50      714.0000      187.1910      99.00000      173.0000      3249.083     0.3495550      1.672669  0.0002875410  2.444447E-16  9.883306E-18      24.73309      144.1355      11.54269      3248.801     0.1521297      11.10636     0.4265449  4.935465E-18
 51      714.0000      187.1910      101.0000      173.0000      3249.051     0.3139199      1.672642  0.0002582279  2.272866E-16  9.454342E-18      24.04045      134.0197      10.81225      3248.737     0.1535031      10.91426     0.4186645  4.700169E-18
 52      714.0000      187.1910      103.0000      173.0000      3249.090     0.3227163      1.672674  0.0002654637  2.548595E-16  9.711686E-18      26.24256      150.2762      11.86184      3248.856     0.1589158      11.23047     0.4058214  5.414094E-18
 53      714.0000      187.1910      105.0000      173.0000      3249.078     0.3470706      1.672665  0.0002854974  2.498761E-16  9.722119E-18      25.70182      147.3383      11.68743      3248.815     0.1580795      11.08984     0.3953484  5.272541E-18
 54      714.0000      187.1910      107.0000      173.0000      3249.163     0.3716672      1.672734  0.0003057303  2.619542E-16  1.169309E-17      22.40247      154.4561      12.70958      3248.854     0.1807134      11.24170     0.4894292  5.790427E-18
 55      714.0000      187.1910      109.0000      173.0000      3248.997     0.3997459      1.672598  0.0003288276  2.354495E-16  1.078267E-17      21.83592      138.8352      11.51222      3248.790     0.1914637      10.95027     0.5272363  5.045688E-18
 56      714.0000      187.1910      111.0000      173.0000      3248.572     0.9121831      1.672248  0.0007503542  1.478828E-16  1.478256E-17      10.00387      87.21203      10.59930      3248.521     0.3407803      9.347592     0.9009356  6.617868E-18
 57      714.0000      187.1910      113.0000      173.0000      3249.065     0.4408971      1.672653  0.0003626783  2.428181E-16  1.027334E-17      23.63576      143.1772      11.60396      3248.821     0.1852755      11.00667     0.4345645  5.442170E-18
 58      714.0000      187.1910      115.0000      173.0000      3248.960     0.4101273      1.672567  0.0003373672  2.195433E-16  1.092115E-17      20.10258      129.4574      11.02518      3248.739     0.2069377      10.70360     0.5041620  5.263190E-18
 59      714.0000      187.1910      117.0000      173.0000      3249.026     0.3658808      1.672622  0.0003009705  2.384387E-16  1.009417E-17      23.62144      140.5966      11.39669      3248.805     0.1723388      10.92422     0.4710608  5.680146E-18
 60      714.0000      187.1910      119.0000      173.0000      3248.920     0.3125836      1.672535  0.0002571286  2.354826E-16  8.756928E-18      26.89101      138.8580      10.89954      3248.777     0.1164086      10.89018     0.3296532  5.569845E-18
 61      714.0000      187.1910      121.0000      173.0000      3248.982     0.3559501      1.672585  0.0002928015  2.417389E-16  1.003324E-17      24.09380      142.5445      11.49325      3248.837     0.1936989      10.91290     0.4353261  5.760595E-18
 62      714.0000      187.1910      123.0000      173.0000      3249.007     0.3313832      1.672606  0.0002725930  2.424650E-16  1.039638E-17      23.32205      142.9715      11.62997      3248.830     0.1613144      10.88091     0.4385687  5.725819E-18
 63      714.0000      187.1910      125.0000      173.0000      3249.075     0.3543000      1.672662  0.0002914442  2.353686E-16  1.022643E-17      23.01571      138.7842      11.33131      3248.825     0.1840635      10.83847     0.3795799  5.440951E-18
 64      714.0000      187.1910      127.0000      173.0000      3248.997     0.3366624      1.672598  0.0002769356  2.387422E-16  9.600442E-18      24.86783      140.7768      11.25818      3248.830     0.1551813      10.91992     0.3991389  5.668046E-18
 65      714.0000      187.1910      129.0000      173.0000      3248.799     0.9011327      1.672435  0.0007412642  1.501873E-16  1.648219E-17      9.112097      88.56486      11.48691      3248.492     0.4011514      9.013967     0.9175641  6.356968E-18
 66      714.0000      187.1910      131.0000      173.0000      3248.980     0.3961305      1.672584  0.0003258536  2.322793E-16  1.041188E-17      22.30907      136.9666      11.28434      3248.816     0.1435199      10.80625     0.4112134  5.523149E-18
 67      714.0000      187.1910      133.0000      173.0000      3249.044     0.3274902      1.672636  0.0002693907  2.261202E-16  1.008045E-17      22.43156      133.3322      10.96719      3248.781     0.1670738      10.67381     0.3867392  5.284271E-18
 68      714.0000      187.1910      135.0000      173.0000      3249.070     0.3504270      1.672657  0.0002882583  2.382450E-16  9.650108E-18      24.68832      140.4804      11.25519      3248.823     0.1444052      10.79971     0.3705984  5.955856E-18
 69      714.0000      187.1910      137.0000      173.0000      3249.059     0.3777082      1.672649  0.0003106996  2.274496E-16  1.029662E-17      22.08973      134.1154      11.08203      3248.780     0.1873543      10.73178     0.4150524  5.585430E-18
 70      714.0000      187.1910      139.0000      173.0000      3249.063     0.3722437      1.672652  0.0003062045  2.300841E-16  1.011327E-17      22.75072      135.6687      11.11362      3248.801     0.1525533      10.68595     0.3685958  5.686482E-18
 71      714.0000      187.1910      141.0000      173.0000      3248.912     0.5012317      1.672528  0.0004123090  2.178383E-16  1.084748E-17      20.08192      128.4539      10.94356      3248.725     0.1642412      10.46992     0.4770174  5.428615E-18
 72      714.0000      187.1910      143.0000      173.0000      3249.062     0.5499407      1.672652  0.0004523766  2.085445E-16  1.103966E-17      18.89047      122.9679      10.70650      3248.733     0.2122012      10.32454     0.5105240  5.333888E-18
 73      714.0000      187.1910      145.0000      173.0000      3248.338     0.7284398      1.672056  0.0005992085  1.302954E-16  1.394635E-17      9.342615      76.84558      9.791478      3248.412     0.3222817      8.641419     0.7013515  6.824194E-18
 74      714.0000      187.1910      147.0000      173.0000      3248.963     0.4399415      1.672570  0.0003618922  2.055698E-16  9.628842E-18      21.34938      121.2176      10.12178      3248.647     0.1773250      10.34191     0.4479534  5.191179E-18
 75      714.0000      187.1910      149.0000      173.0000      3249.197     0.3998266      1.672762  0.0003288941  2.721117E-16  1.391394E-17      19.55677      160.4436      13.79539      3248.942     0.2260351      11.30612     0.5089796  8.236418E-18
 76      714.0000      187.1910      151.0000      173.0000      3249.021     0.5055227      1.672617  0.0004158387  2.178405E-16  1.103975E-17      19.73237      128.4509      11.00992      3248.677     0.1834107      10.55145     0.5237039  5.417809E-18
