 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 43      729.0000      257.7520      85.00000      191.0000      3246.676     0.6993926      1.670688  0.0005753145  1.562776E-16  1.176564E-17      13.28254      92.21658      9.425303      3245.973     0.4070068      13.13533     0.9012963  5.497293E-18
 44      729.0000      257.7520      87.00000      191.0000      3246.638     0.7444517      1.670657  0.0006123798  1.538830E-16  1.254958E-17      12.26200      90.80465      9.707732      3245.962     0.4920386      13.19612      1.042898  5.484426E-18
 45      729.0000      257.7520      89.00000      191.0000      3246.663     0.5774088      1.670678  0.0004749716  1.664538E-16  1.060232E-17      15.69975      98.22176      9.232601      3245.957     0.3799958      13.15337     0.6915521  5.696682E-18
 46      729.0000      257.7520      91.00000      191.0000      3246.801     0.3632285      1.670791  0.0002987887  1.661783E-16  1.060465E-17      15.67032      98.05500      9.224880      3245.939     0.3055147      13.03676     0.7751552  5.715504E-18
 47      729.0000      257.7520      93.00000      191.0000      3246.659     0.7315840      1.670675  0.0006017949  1.492457E-16  1.079968E-17      13.81946      88.06761      8.813216      3246.041     0.3871392      12.98213     0.9032581  5.494737E-18
 48      729.0000      257.7520      95.00000      191.0000      3246.708     0.6060755      1.670715  0.0004985526  1.497792E-16  1.192719E-17      12.55779      88.38109      9.319773      3245.946     0.4486327      12.83533      1.016043  5.561810E-18
 49      729.0000      257.7520      97.00000      191.0000      3246.784     0.4773496      1.670777  0.0003926638  1.667184E-16  1.109927E-17      15.02066      98.37422      9.441193      3245.968     0.3359457      12.92797     0.6597833  6.110896E-18
 50      729.0000      257.7520      99.00000      191.0000      3246.814     0.5518732      1.670802  0.0004539663  1.519000E-16  1.098917E-17      13.82270      89.62960      8.968431      3245.947     0.3963843      12.98591     0.7412894  5.901373E-18
 51      729.0000      257.7520      101.0000      191.0000      3246.630     0.4427315      1.670650  0.0003641872  1.615978E-16  1.119610E-17      14.43340      95.35725      9.332684      3245.843     0.3133631      12.93095     0.7418743  6.151507E-18
 52      729.0000      257.7520      103.0000      191.0000      3246.621     0.5566984      1.670644  0.0004579354  1.560560E-16  1.151819E-17      13.54865      92.08733      9.312245      3245.821     0.4076892      12.97912     0.8620803  5.911521E-18
